@relation whatever-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-M

@attribute gdp numeric
@attribute life_expectancy numeric
@attribute popdensity numeric
@attribute total_population numeric
@attribute m_out numeric
@attribute income_per_person numeric
@attribute year numeric
@attribute m_in numeric

@data
18427778571.0531,77.2,115.534905,2058832,80563,37521,1990,1048104
2674000000,66,22.894682,4394502,522514,3475,1990,608720
865559856.1639,51.5,18.404848,4247839,481859,1622,1990,22074
?,69.6,42.818686,2663985,214951,13383,1990,646007
2838485397.82897,69.3,264.224731,2703019,505729,7734,1990,520116
544583156.185985,60.5,52.619697,1597534,191950,1301,1990,4469
384400000,48.6,21.832195,2102877,516656,503,1990,74599
28904898117.7385,73.4,2.499755,4398419,74803,26928,1990,457075
1421508875.2782,?,179.65625,28745,3448,?,1990,10877
?,71.5,58.995501,3697393,340981,17041,1990,335946
13361108522.4529,75.2,?,381787,27703,56922,1990,113439
2990180515.91709,75.36,17986.75,359735,93949,36984,1990,191386
3081479800.28735,56,19.853805,11545782,58496,1661,1990,17503
1880784191.81484,48.8,99.798451,9408998,121005,540,1990,1096822
44024177914.6074,71.8,55.428693,18211097,490482,10159,1990,609304
215089005.235602,66,726.666667,223179,2112,4363,1990,8435
2681912149.14767,50,6.951438,8482075,647720,1100,1990,142919
2547330284.04418,77.1,1106.78125,355707,109526,16596,1990,14979
78476000,64.6,?,47300,1407,2950,1990,1022
1019600770.6038,59.5,1.963389,2023665,134113,2800,1990,110227
2653485952.13319,69.3,521.564039,1055865,107960,7568,1990,3246
262709785592.711,71.5,44.038892,85609404,4393907,12479,1990,693754
3592856080.02915,68.2,128.749086,4364114,625795,6440,1990,527124
2481316053.85316,?,14719,29438,4370,43173,1990,11565
2560785660,62.3,1.405897,2184145,24119,5122,1990,6043
?,74.6,45.08342,614999,77381,16136,1990,0
30179962098.142,67.7,55.904387,24950128,1587234,3901,1990,43973
2512109516.61781,51.5,17.004465,13371971,2217623,462,1990,58963
?,57.6,64.276569,42007309,585080,1775,1990,120047
2804357081.08613,61.7,1.719257,1415447,15792,5717,1990,117404
?,?,457.85,9157,968,30647,1990,2598
3627559252.20577,58.4,131.060755,18741688,747642,1240,1990,411030
314267667675.178,77,442.876481,14915139,726603,32534,1990,1180236
2529310103.83608,70.7,9.348961,168537,2961,?,1990,35367
45495727006.5141,75.6,12.645931,3397534,381810,24021,1990,499649
1009455476.10732,73.3,34.440452,4144564,441312,3025,1990,40112
2480673304.74309,47.2,6.24606,7911884,132711,924,1990,105305
30757075595.3681,54.1,104.985172,95617345,447501,3030,1990,299556
?,68.9,167.713263,20194354,38962,2076,1990,31012
?,?,?,43972,2519,?,1990,25498
119791683307.507,76.6,11.612679,4240375,135915,43296,1990,186730
11685045607.8469,72.1,5.855118,1812159,12489,35076,1990,299352
40010425585.0861,62.1,139.590648,107607639,3335625,2961,1990,6203799
76888000,?,?,15089,2963,16913,1990,2695
5625703300,74.9,33.239306,2471010,134585,7463,1990,62485
3219730365,56,9.181431,4157903,3015,1607,1990,31057
5695201563.42495,74.2,10.60594,4213740,297648,5985,1990,189434
25710059622.0643,68.7,17.052077,21826658,309800,5280,1990,63987
44311595229.859,67.6,207.75846,61947340,2027283,4010,1990,128466
64712371654.1385,70.9,124.427118,38195258,1531728,10088,1990,1073550
78721607509.4923,74.2,109.106208,9890319,2060790,20282,1990,431537
30603919000,73.8,398.759865,3517984,1200789,25275,1990,312915
7360439210.95034,74.5,41.04031,476478,12107,73402,1990,305265
49361026051.8432,76.3,51.008477,3563106,865640,22468,1990,227961
4471828621.90813,71.7,78.498899,1996227,388831,9563,1990,93617
2798746050.58236,54.5,6.98819,34962676,91168,1270,1990,121479
38299106119.9263,70,101.16344,23489361,812830,11449,1990,126763
516814258695.568,69.2,9.04774,147568552,12696172,19349,1990,11516298
2550185692.53721,50.5,294.274017,7259740,550675,856,1990,139650
208740440.757955,?,157.05,40833,20697,14258,1990,1521
397192585.577919,70.2,226.52459,138180,21990,7979,1990,3473
240365255.014256,69.7,275.664103,107509,37021,5726,1990,3718
125766270.897892,69.1,57.54947,162865,69152,3649,1990,3124
?,?,400.75,24045,1425,34215,1990,3203
?,63.4,118.307292,113575,13960,2254,1990,5483
116778104138.852,73.9,7.611076,16361453,106451,35681,1990,4830679
5716644524.96413,57.8,39.028728,7514201,369114,1856,1990,234420
?,72.5,86.736794,9517670,664492,14457,1990,99189
368584758.942457,69.1,152.173913,70627,26766,14116,1990,2947
649644826.800447,51.6,54.463951,3931208,60832,1334,1990,221192
