@relation 'whatever-weka.filters.unsupervised.attribute.Remove-R5,7-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-M-weka.filters.unsupervised.attribute.ReplaceMissingValues'

@attribute gdp numeric
@attribute life_expectancy numeric
@attribute popdensity numeric
@attribute total_population numeric
@attribute income_per_person numeric
@attribute m_in numeric

@data
11000146839.497,52.5,45.296667,14404340,2964,2038795
5779285207.92079,74.7,228.993536,2489540,8644,20208
5333925511058.95,79.7,344.045529,124483305,31224,1358965
6727446632.42009,72.5,48.95918,4320158,7516,1534882
20374307047.115,63.6,5.85829,15925913,8079,3245250
9046326059.98857,58.1,48.095433,27373035,2199,511762
57610600.444774,58.9,95.959259,77727,1434,1746
27191689008.0429,76.5,91.864815,1637031,82268,893634
1661018518.51852,65.1,23.776851,4592135,1696,498613
1763536299.18912,53.6,21.047548,4857774,1908,20911
5785037079.29264,66.5,39.955238,2487988,8110,538093
11718795528.4939,73.4,296.520626,3033406,12254,604819
859088528.025144,58.7,57.767589,1753824,1466,4024
134800000,50.9,21.593864,2079921,142,189728
25544128198.9955,74.6,2.77243,4878202,23363,508041
2428524711.5576,68.818541,192.70625,30833,15691.875833,13250
7870782260.51698,69,57.898883,3628079,10115,259880
21803347564.3131,76.9,382.114859,408148,64568,125818
6560637942.71945,76.56,19922.95,398459,44465,209502
3159901231.97468,57.2,23.132589,13452526,1402,15499
1397454122.24047,46.9,104.187654,9822812,593,189007
88704944178.6284,72.4,63.081339,20725374,14035,843822
398988954.970263,69.3,850,254070,5264,17826
2706425298.36818,51.4,7.900936,9640643,1126,157515
3599683395.46889,78.4,1157.603125,372391,20720,17594
120230000,65.2,283.444444,51020,3562,1305
1415296704.11812,61.2,2.264447,2333966,2838,88054
4040342060.18334,70.3,552.934483,1128676,9062,6936
343792780638.899,73,48.574781,94426946,12491,456661
1752975841.35916,65.4,127.753989,4339082,2596,355733
3130270918.79061,68.818541,15350,30700,44514,11581
1452165052.66093,61.7,1.479208,2298038,4244,6653
238284727566.4374,73.5,45.480446,620415,7635,0
39030285468.3841,69.5,60.860159,27161889,3870,40348
2521738759.58885,52.7,20.235892,15913101,465,91089
238284727566.4374,59,68.413457,44710931,1868,99848
3942478205.72909,60.5,2.009273,1654214,5900,112236
238284727566.4374,68.818541,498.5,9970,14177,2400
4401104417.67068,61.7,149.586748,21390905,1405,651911
446528959648.641,77.6,457.908945,15450803,35244,1343094
3628440274.67,72.16,10.602626,189198,15691.875833,40990
63918703506.9075,77,13.950856,3674886,25476,555116
4140470000,74.4,38.326649,4612229,2934,25561
1880803361.68562,49.5,7.390789,9361912,811,136035
28546958641.2735,55,119.047424,108424822,2740,361537
238284727566.4374,58.6,180.746367,21763670,1442,31613
238284727566.4374,68.818541,125.03913,57518,15691.875833,31106
152027402449.804,77.9,11.934959,4359788,50616,223951
13802600780.2341,73.9,7.081952,2191864,39194,521084
60636022422.6176,61.8,159.038695,122599749,3255,3665602
95237000,68.818541,37.51087,17255,13913,4568
8371108300,75.3,36.832459,2738125,8795,70440
4636113480.00002,56.9,10.413658,4715929,2139,31809
9062131307.88275,74.1,11.983018,4760853,6582,181196
51990003413.4232,71.1,18.780282,24038761,6198,55861
74119987244.5011,68.8,234.214418,69835713,3973,158916
139411289237.113,71.9,126.008025,38591860,11093,918272
118133634071.912,75.5,109.575694,10078431,21975,528127
42647331000,73.3,415.231454,3689649,28629,328497
8137911978.02198,74.4,43.154091,501019,77809,353830
69217500631.3131,77.1,52.385557,3645333,27439,226892
4449375346.45669,71.8,76.820448,1953544,7700,107917
2116003868.17928,54,7.9686,42183620,724,185581
37662075750.123,69.4,98.846442,22965125,10516,122811
395531066563.296,64.4,9.059243,148293265,12013,11920139
1293535192.20971,43.8,239.673895,5912755,695,210742
299699666.666667,68.818541,164.953846,42888,16362,2014
560811111.111111,71.1,241.04918,147040,8854,4652
316008481.481481,69.6,277.235897,108122,6044,3874
224865731.381903,70,60.126502,170158,3686,4410
238284727566.4374,68.818541,431.25,25875,41846,3554
238284727566.4374,64.1,130.93125,125694,2197,4846
142457676902.537,75.5,8.770413,18853670,35870,4950773
4878719133.22771,58.4,45.243578,8710746,1774,250016
16750000000,72,87.186794,9884146,7167,629705
508221508.221508,69.8,163.704348,76703,15097,4514
870758739.40678,50.9,53.16995,3837807,1041,104349
87890009877.24,76.4,5260.456716,3482635,44884,793855
25733043137.2549,72.4,111.476071,5362950,12879,69064
21273048928.427,74.6,98.801986,1991487,18240,174358
519334096.714525,61.1,12.834441,359236,2284,3888
238284727566.4374,49.9,10.116428,6346440,637,18044
155460234815.693,62.7,32.248226,41426810,9730,953701
559329547369.922,74,467.478654,44652994,16798,118307
238284727566.4374,52.7,382.114859,5452771,2132,0
612939685081.398,77.9,78.86236,39764267,25645,1012489
12995278048.7805,71.7,288.215596,18248435,4075,39215
238284727566.4374,68.818541,601.323529,26123,15691.875833,0
13829744878.6366,60.5,12.687181,24691970,1934,1019443
693970588.235294,70.1,2.857885,445830,9848,13070
1698982437.76019,59.1,56.013256,963428,5043,23015
264051981551.316,78.9,21.511281,8826720,31044,854643
341759012938.689,78.5,178.114473,7017042,44738,1312818
11396706586.8263,72.7,77.98434,14331962,4894,292985
1231523105.36089,64.1,41.328451,5784330,1266,347871
5255221424.80962,53.9,33.758556,29903329,1369,1100291
169278552851.272,70.6,116.005577,59266089,9239,809682
3429000000,69.7,27.987113,280151,22119,30680
785996982.492168,62.6,105.31087,1065746,1448,146646
1309382885.33029,57.6,78.769737,4284286,1198,90722
202547013.927138,69.6,133.179167,95889,4269,921
5329214163.22001,69.3,244.639571,1255001,14046,42344
18030876599.3444,72.9,57.656411,9113972,6055,31851
169485941048.035,70,76.039551,58522320,11530,1071547
2482228439.71407,63.3,8.911987,4188010,4623,270049
238284727566.4374,68.818541,16.141053,15334,13317,5901
11025679.514763,68.818541,307.566667,9227,2686,197
238284727566.4374,76.23,308.048571,107018,15691.875833,48707
5755818947.42125,48.3,102.161889,20412967,910,613212
48214752454.2319,66.5,88.913954,50811673,5073,5774245
65743666575.8649,71.9,28.112344,2350192,106425,1781444
1237561937825.47,76.7,239.817427,57903790,28317,4132002
7664060000000,75.9,29.072952,266275528,39476,25891540
19297663096.5506,73.4,18.425363,3224807,11513,86635
13350468917.4115,66.6,53.561354,22687456,2213,1433906
233902114.8683,62.3,13.801148,168236,2610,1451
74888742183.6849,72.7,25.155797,22188671,15390,1018672
20736163915.2388,70.6,221.191127,75198975,2042,49803
4258788725.44991,60.3,28.9148,15266147,3644,104345
3807067121.8609,46.9,12.447742,9253527,2106,232452
7111270700,56,30.200688,11683136,2416,393451
238284727566.4374,50.1,30.177894,19701940,962,60918
3632043907.78974,74.7,112.738212,3121965,5305,68202
54790060512.8887,73.3,13.092805,31183658,9885,241786
238284727566.4374,71.7,287.61,57522,15691.875833,24115
1401694155.6973,83.7,139.146809,65399,31662,41238
9129634978.33773,52.3,12.078798,15058638,3387,38485
783837851.851852,73.8,176.472727,77648,19319,22746
284203750000,74.2,13.540976,37057453,11504,1459713
1911563665.39006,71.3,108.046997,3076098,2919,620649
1873452513.96648,73.78,504.766667,90858,43703,26897
414951956289.644,79.8,2.493134,19107251,35253,4337890
196421706283.398,78.2,97.015815,8050884,38548,996547
5272617196.04517,66.5,97.43478,8117742,4459,325050
9062906914.89362,73.7,939.232394,666855,45063,232683
53369787318.6245,64.9,1008.532988,131280739,1632,775021
3121500000,74,627.530233,269838,14677,21831
12736856485.1068,68.1,49.324591,9952055,7300,1123275
237904919845.218,77.8,338.548547,10268380,37404,837472
832072450,69,10.842262,247312,7215,35321
2569186642.86999,57.2,61.629709,6949366,1525,113401
3480219000,74.1,1236.66,64035,51140,16930
439158233.199822,65.9,14.175553,564187,3596,29673
8397912509.09679,67.6,7.698248,8339512,4330,91453
5505984455.95855,75.7,74.079648,3792878,6158,81959
5788329609.15755,47.6,3.064209,1736579,10250,48400
655421153320.579,70.7,21.031766,175786441,11461,657613
238284727566.4374,68.818541,137.62,20643,15691.875833,10155
6001153306.2645,75.9,62.723719,330554,74475,95333
13148099185.2305,71.6,73.851324,8000510,9075,41598
2632700362.73684,52.6,42.426696,11607944,1046,485979
870486065.883137,46.7,263.515304,6767073,723,111921
3654031716.26881,60,69.102113,12197905,1368,140279
9287367235.25769,54.3,33.69447,15927713,2404,182879
742293448252.643,79.2,3.383699,30701903,37314,5505346
539227277.626411,68.4,108.867742,438737,3772,10683
238284727566.4374,68.818541,173.6875,41685,56574,19172
914500299.097034,45.3,5.981007,3726048,848,87922
1385058161.76746,51.5,6.62589,8343321,998,98689
6439703434.71024,68.818541,766.623711,29625425.15674,15691.875833,62987
79328640263.7676,77.3,20.403139,15170387,14614,177332
1205260678391.96,69.8,134.492481,1269974572,3678,389735
99886577575.5444,73.3,36.416367,40403959,8414,108894
203846427.782931,62.1,294.301988,547696,1391,12310
15946443103.2804,77.7,76.879162,3925450,9564,300336
21774273832.1031,74.2,79.16294,4428069,15644,480163
30565200000,76.2,103.508259,11116787,11268,15263
238284727566.4374,68.818541,301.486486,132101,15691.875833,0
9929632422.24317,77.7,102.087338,943287,30005,79394
61474265134.5364,75,132.717264,10263010,21003,220789
19088046305.7971,52.5,21.194356,3109269,4623,617393
164158800460.219,77.1,125.845298,5338283,41693,371026
551230861.856505,60,31.171786,722562,2079,94491
335845808.883564,73.7,92.905333,69679,8091,3225
23996100575.4896,73.3,177.206602,8562623,7955,354141
368000000,60.7,56.972764,847185,1322,9327
18327764882.4412,73.2,50.847947,12628596,7444,121958
99838543960.0763,69.7,68.64725,68334905,7807,163927
13134100000,71.9,280.494015,5811836,6266,31586
1045998496.43872,52.9,18.926774,530896,11768,3650
706370815.584416,37.6,35.001545,3535156,1446,11295
5685773518.84272,70.4,32.955532,1399145,14877,248999
8242392103.68061,52.1,66.443603,66443603,623,549918
1062339943.83343,68.818541,33.303009,46491,15691.875833,3426
233226300,66.6,153.471429,107430,3167,123507
1684109743.49338,64.2,44.401916,811223,6444,11120
125539893126.958,77.8,16.994021,5176482,34517,134418
1368438363736.87,79.1,111.242294,59387183,34774,6278718
3447543137.9415,72.31,64.827049,237267,15691.875833,26321
5067865320.7979,59.3,4.779555,1231548,17630,190440
3057453482.55826,71.4,77.299766,4743591,3269,213606
1949953934033.54,78.1,235.596813,81895925,36953,8658910
4983024408.14828,60,82.73268,18824994,2273,179184
