,internet_use,energy_use,gdp,total_population,m_in,m_out
internet_use,1.0,0.772048138143,0.787874222893,0.860776658901,0.992529397706,0.410049086801
energy_use,0.772048138143,1.0,0.584235919094,0.969324215485,0.194282715854,0.544984382073
gdp,0.787874222893,0.584235919094,1.0,0.420870500152,0.749517174879,0.23583449711
total_population,0.860776658901,0.969324215485,0.420870500152,1.0,0.0209934058285,0.437710461049
m_in,0.992529397706,0.194282715854,0.749517174879,0.0209934058285,1.0,0.0694380863217
m_out,0.410049086801,0.544984382073,0.23583449711,0.437710461049,0.0694380863217,1.0
